Title,Year,IMDB
Spirit Untamed,2021,5.4
Tom & Jerry,2021,5.3
Cats and Peachtopia,2018,4.8
Raya and the Last Dragon,2021,7.4
The Star,2017,6.3
To: Gerard,2020,7.3
Wish Dragon,2021,7.2
New Gods: Nezha Reborn,2021,6.9
Batman: Soul of the Dragon,2021,6.1
Blind Vaysha,2016,7.3
Over the Moon,2020,6.4
Kronk's New Groove,2005,5.8
Soul,2020,8.1
Demon Slayer: Mugen Train,2020,8.4
Sword of the Stranger,2007,7.8
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Monster Pets: A Hotel Transylvania Short,2021,6.7
Justice Society: World War II,2021,6.4
The Mitchells vs. The Machines,2021,7.8
Scooby-Doo! and the Gourmet Ghost,2018,6.7
Mickey's Twice Upon a Christmas,2004,6.5
Mickey's Once Upon a Christmas,1999,7.1
Scooby-Doo! Return to Zombie Island,2019,5.7
Wolfwalkers,2020,8.1
"Happy Halloween, Scooby-Doo!",2020,6.4
Ghost in the Shell (Kôkaku Kidôtai),1995,8
Dinosaur,2000,6.5
101 Dalmatians,1996,5.7
Mokoland,2017,7.7
Spycies,2020,5.3
The One and Only Ivan,2020,6.7
"Mickey, Donald, Goofy: The Three Musketeers",2004,6.4
Scoob!,2020,5.7
White Fang (Croc-Blanc),2018,6.9
Chicken Run,2000,7
Winnie the Pooh,2011,7.2
Pooh's Grand Adventure: The Search for Christopher Robin,1997,7.1
LEGO DC: Shazam! Magic and Monsters,2020,6.2
101 Dalmatians II: Patch's London Adventure,2003,5.8
Cool World,1992,4.9
Trolls World Tour,2020,6.1
Bao,2018,7.5
We Bare Bears: The Movie,2020,7.3
Justice League Dark: Apokolips War,2020,8
Onward,2020,7.5
The Willoughbys,2020,6.4
Mortal Kombat Legends: Scorpions Revenge,2020,7.5
Barbie: The Pearl Princess,2013,6.2
Spies in Disguise,2019,6.8
The Lion King,2019,6.9
Frozen II,2019,7
Trouble,2019,6.5
Hulk: Where Monsters Dwell,2016,5.5
Superman: Red Son,2020,6.3
The Addams Family,2019,5.8
The Angry Birds Movie 2,2019,6.4
Klaus,2019,8.4
"Astro Kid (Terra Willy, planète inconnue)",2019,6.4
Toy Story 4,2019,8.1
UglyDolls,2019,4.7
Norm of the North,2016,3.4
The Secret Life of Pets 2,2019,6.5
Bikes,2019,4.2
Iron Man & Hulk: Heroes United,2013,4.7
My Little Pony: Equestria Girls,2013,6.1
Missing Link,2019,6.9
Balto III: Wings of Change,2004,6.4
Pocahontas II: Journey to a New World,1998,4.9
Scooby-Doo! and Kiss: Rock and Roll Mystery,2015,6.5
"Monster High: Frights, Camera, Action!",2014,6.7
Asterix: The Secret of the Magic Potion,2018,6.9
Maaginen kristalli,2011,4.1
Wonder Park,2019,5.7
Tarzan 2: Who Am I? (Tarzan II),2005,5.6
Happily N'Ever After,2006,4.5
Happily N'Ever After 2,2009,3.9
I Want to Eat Your Pancreas,2018,7.7
The Queen's Corgi,2019,5.2
Woody Woodpecker,2018,4.2
Thumbelina,1994,0
